date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:18	253068/253068	---M--	200	added ('OK')	image/png	etag:%223dc8c-662e4e34-df1998515d69058e;;;%22	https://askbootstrap.com/preview/swiggi/img/trending6.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/trending6.png	(from https://askbootstrap.com/preview/swiggi/trending.html)
12:00:18	347105/347105	---M--	200	added ('OK')	image/png	etag:%2254be1-662e4e31-b0ca269fdc87430e;;;%22	https://askbootstrap.com/preview/swiggi/img/trending7.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/trending7.png	(from https://askbootstrap.com/preview/swiggi/trending.html)
12:00:19	13605/13605	---M--	200	added ('OK')	image/jpeg	etag:%223525-662e4e30-e13e2244e81b8321;;;%22	https://askbootstrap.com/preview/swiggi/img/starter1.jpg	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/starter1.jpg	(from https://askbootstrap.com/preview/swiggi/restaurant.html)
12:00:19	289999/289999	---M--	200	added ('OK')	image/png	etag:%2246ccf-662e4e51-bd80134ece4a13c8;;;%22	https://askbootstrap.com/preview/swiggi/img/trending8.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/trending8.png	(from https://askbootstrap.com/preview/swiggi/trending.html)
12:00:19	13078/13078	---M--	200	added ('OK')	image/jpeg	etag:%223316-662e4e31-a44b3a7dffda2bf3;;;%22	https://askbootstrap.com/preview/swiggi/img/starter2.jpg	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/starter2.jpg	(from https://askbootstrap.com/preview/swiggi/restaurant.html)
12:00:19	13692/13692	---M--	200	added ('OK')	image/jpeg	etag:%22357c-662e4e4f-89543ecbdea05c20;;;%22	https://askbootstrap.com/preview/swiggi/img/starter3.jpg	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/starter3.jpg	(from https://askbootstrap.com/preview/swiggi/restaurant.html)
12:00:20	4930/4930	---M--	200	added ('OK')	image/png	etag:%221342-662e4e31-758684f2212eea04;;;%22	https://askbootstrap.com/preview/swiggi/img/reviewer1.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/reviewer1.png	(from https://askbootstrap.com/preview/swiggi/restaurant.html)
12:00:20	4686/4686	---M--	200	added ('OK')	image/png	etag:%22124e-662e4e2f-b1afeb31c978c329;;;%22	https://askbootstrap.com/preview/swiggi/img/reviewer3.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/reviewer3.png	(from https://askbootstrap.com/preview/swiggi/restaurant.html)
12:00:20	4659/4659	---M--	200	added ('OK')	image/png	etag:%221233-662e4e31-3a0043d88c5514f3;;;%22	https://askbootstrap.com/preview/swiggi/img/reviewer4.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/reviewer4.png	(from https://askbootstrap.com/preview/swiggi/restaurant.html)
12:00:20	4697/4697	---M--	200	added ('OK')	image/png	etag:%221259-662e4e30-8371f1e21adf58a4;;;%22	https://askbootstrap.com/preview/swiggi/img/reviewer5.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/reviewer5.png	(from https://askbootstrap.com/preview/swiggi/restaurant.html)
12:00:21	4783/4783	---M--	200	added ('OK')	image/png	etag:%2212af-662e4e32-b5ce842fb8136493;;;%22	https://askbootstrap.com/preview/swiggi/img/reviewer6.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/reviewer6.png	(from https://askbootstrap.com/preview/swiggi/restaurant.html)
12:00:21	4999/4999	---M--	200	added ('OK')	image/png	etag:%221387-662e4e2f-5dc218df369de73a;;;%22	https://askbootstrap.com/preview/swiggi/img/reviewer2.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/reviewer2.png	(from https://askbootstrap.com/preview/swiggi/restaurant.html)
12:00:21	283780/283780	---M--	200	added ('OK')	image/png	etag:%2245484-662e4e32-ba619b9a3f84ee8a;;;%22	https://askbootstrap.com/preview/swiggi/img/popular5.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/popular5.png	(from https://askbootstrap.com/preview/swiggi/most_popular.html)
12:00:22	288920/288920	---M--	200	added ('OK')	image/png	etag:%2246898-662e4e35-37ea62ed894c1184;;;%22	https://askbootstrap.com/preview/swiggi/img/popular7.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/popular7.png	(from https://askbootstrap.com/preview/swiggi/most_popular.html)
12:00:23	329617/329617	---M--	200	added ('OK')	image/png	etag:%2250791-662e4e2e-9ec23f91d54543a;;;%22	https://askbootstrap.com/preview/swiggi/img/popular6.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/popular6.png	(from https://askbootstrap.com/preview/swiggi/most_popular.html)
12:00:23	347024/347024	---M--	200	added ('OK')	image/png	etag:%2254b90-662e4e34-a5fb49228529404b;;;%22	https://askbootstrap.com/preview/swiggi/img/popular8.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/popular8.png	(from https://askbootstrap.com/preview/swiggi/most_popular.html)
12:00:24	16045/16045	---M--	200	added ('OK')	image/jpeg	etag:%223ead-662e4e2e-1e0403e63601018c;;;%22	https://askbootstrap.com/preview/swiggi/img/user1.jpg	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/user1.jpg	(from https://askbootstrap.com/preview/swiggi/profile.html)
12:00:24	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ce24be-4d7%22	https://askbootstrap.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://askbootstrap.com/preview/swiggi/profile.html)
12:00:24	14717/14717	---M--	200	added ('OK')	image/png	etag:%22397d-662e4e30-55d1e3572c95d59c;;;%22	https://askbootstrap.com/preview/swiggi/img/logo.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/logo.png	(from https://askbootstrap.com/preview/swiggi/index.html)
12:00:24	26011/26011	---M--	200	added ('OK')	image/png	etag:%22659b-662e4e33-25910d64b328c0a3;;;%22	https://askbootstrap.com/preview/swiggi/img/landing1.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/landing1.png	(from https://askbootstrap.com/preview/swiggi/landing.html)
12:00:25	32185/32185	---M--	200	added ('OK')	image/png	etag:%227db9-662ed4ad-c97a83efeed84847;;;%22	https://askbootstrap.com/preview/swiggi/img/landing2.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/landing2.png	(from https://askbootstrap.com/preview/swiggi/landing.html)
12:00:25	72432/72432	---M--	200	added ('OK')	image/png	etag:%2211af0-662e4e34-21db7b89cf42894f;;;%22	https://askbootstrap.com/preview/swiggi/img/landing3.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/landing3.png	(from https://askbootstrap.com/preview/swiggi/landing.html)
12:00:26	25831/25831	---M--	200	added ('OK')	image/png	etag:%2264e7-662e4e32-2a0a54eb0e84e6dd;;;%22	https://askbootstrap.com/preview/swiggi/img/location.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/location.png	(from https://askbootstrap.com/preview/swiggi/location.html)
12:00:28	3600136/3600136	---M--	200	added ('OK')	video/mp4	etag:%2236ef08-662e4e63-f64676828ab83bd8;;;%22	https://askbootstrap.com/preview/swiggi/img/bg.mp4	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/bg.mp4	(from https://askbootstrap.com/preview/swiggi/login.html)
12:00:28	153793/153793	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Sep%202024%2006:30:25%20GMT	https://askbootstrap.com/preview/swiggi/help.html	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/help.html	(from https://askbootstrap.com/preview/swiggi/terms.html)
